Name,Address,Phone,Category,Website
Central Park,"Central Park, New York, NY, USA",212-310-6600,Park,https://www.centralparknyc.org
Empire State Building,"350 5th Ave, New York, NY 10118, USA",212-736-3100,Landmark,https://www.esbnyc.com
Times Square,"Broadway, 7th Avenue, W 42nd to W 47th Streets, New York, NY 10036, USA",212-768-1560,Attraction,https://www.timessquarenyc.org
Statue of Liberty,"Liberty Island, New York, NY 10004, USA",212-363-3200,Monument,https://www.nps.gov/stli
Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028, USA",212-535-7710,Museum,https://www.metmuseum.org
Broadway Theatre,"1681 Broadway, New York, NY 10019, USA",212-239-6200,Theater,https://www.broadway.com
Brooklyn Bridge,"Brooklyn Bridge, New York, NY 10038, USA",212-484-1200,Landmark,https://www.nycgo.com
Rockefeller Center,"45 Rockefeller Plaza, New York, NY 10111, USA",212-332-6868,Attraction,https://www.rockefellercenter.com
Grand Central Terminal,"89 E 42nd St, New York, NY 10017, USA",212-340-2583,Transportation,https://www.grandcentralterminal.com
High Line,"New York, NY 10011, USA",212-500-6035,Park,https://www.thehighline.org
Museum of Modern Art,"11 W 53rd St, New York, NY 10019, USA",212-708-9400,Museum,https://www.moma.org
One World Trade Center,"285 Fulton St, New York, NY 10007, USA",212-257-6600,Landmark,https://www.wtc.com
Chinatown,"Canal Street, New York, NY 10013, USA",212-484-1200,Neighborhood,https://www.nycgo.com
Little Italy,"Mulberry St, New York, NY 10013, USA",212-484-1200,Neighborhood,https://www.nycgo.com
Washington Square Park,"Washington Square, New York, NY 10012, USA",212-639-9675,Park,https://www.nycgovparks.org 
